Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
"6/5/2023 8:57:54.298 PM,N/A,SIP,IMS → UE,SIP NOTIFY,""Chip Type = Qualcomm, Direction = Rx, CSeq = 1 NOTIFY"""
"6/5/2023 8:57:54.384 PM,N/A,SIP,UE → IMS,SIP 200 OK,""Chip Type = Qualcomm, Direction = Tx, CSeq = 1 NOTIFY"""
6/5/2023 8:57:54.456 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:54.765 PM,N/A,NR5G L1,N/A,QC5GNR MAC CDRX Config,
"6/5/2023 8:57:55.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140327, Lat: 33.896252; Heading: 313.9252; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:55.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:55.000 PM,N/A,NR5G L1,N/A,QC5GNR BRS Measurement Result for PCell SSB,
6/5/2023 8:57:55.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:55.000 PM,N/A,NR5G L1,N/A,QC5GNR Channel State Factor PCell,
6/5/2023 8:57:55.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
